order_id,complaint_id,complaint_type,complaint_date,resolution_time_hours
O03937,C000274,Late Delivery,2025-12-04,27
O03941,C000275,Refund Not Processed,2025-12-05,41
O03942,C000276,Refund Not Processed,2025-12-15,27
O03952,C000277,Payment Failure,2025-10-03,14
O03978,C000278,Food Quality,2025-11-06,22
O03988,C000279,Refund Not Processed,2025-10-01,38
O04016,C000280,Late Delivery,2025-10-13,45
O04022,C000281,Food Quality,2025-11-05,32
O04023,C000282,App Issue,2025-12-25,4
O04030,C000283,Late Delivery,2025-11-27,18
O04031,C000284,Food Quality,2025-10-23,23
O04034,C000285,App Issue,2025-11-21,20
O04050,C000286,App Issue,2025-12-04,9
O04068,C000287,Payment Failure,2025-11-06,42
O04075,C000288,Refund Not Processed,2025-11-08,22
O04094,C000289,Late Delivery,2025-11-12,17
O04095,C000290,App Issue,2025-12-17,30
O04102,C000291,Refund Not Processed,2025-11-22,47
O04108,C000292,Late Delivery,2025-11-16,37
O04113,C000293,Refund Not Processed,2025-12-10,21
O04131,C000294,Refund Not Processed,2025-12-17,47
O04139,C000295,Payment Failure,2025-10-29,20
O04165,C000296,Late Delivery,2025-10-13,33
O04176,C000297,Refund Not Processed,2025-11-21,31
O04185,C000298,Food Quality,2025-10-18,4
O04197,C000299,Refund Not Processed,2025-11-25,36
O04208,C000300,Refund Not Processed,2025-11-16,42
O04213,C000301,Food Quality,2025-10-03,18
O04221,C000302,Late Delivery,2025-10-17,46
O04231,C000303,Late Delivery,2025-10-11,23
O04249,C000304,Food Quality,2025-11-01,30
O04265,C000305,Late Delivery,2025-10-18,24
O04270,C000306,Refund Not Processed,2025-10-22,8
O04273,C000307,App Issue,2025-11-08,5
O04280,C000308,Late Delivery,2025-12-21,29
O04304,C000309,Food Quality,2025-10-07,40
O04317,C000310,Late Delivery,2025-10-11,14
O04373,C000311,Late Delivery,2025-12-19,8
O04377,C000312,App Issue,2025-11-21,23
O04389,C000313,App Issue,2025-11-22,13
O04411,C000314,App Issue,2025-11-13,16
O04412,C000315,Late Delivery,2025-10-25,27
O04424,C000316,Wrong Item,2025-12-04,45
O04439,C000317,Food Quality,2025-12-20,31
O04451,C000318,Late Delivery,2025-12-12,44
O04459,C000319,Food Quality,2025-11-27,19
O04470,C000320,Food Quality,2025-10-16,36
O04472,C000321,Food Quality,2025-11-10,11
O04484,C000322,Late Delivery,2025-10-28,40
O04494,C000323,Food Quality,2025-11-13,21
O04529,C000324,Food Quality,2025-10-05,13
O04530,C000325,Refund Not Processed,2025-11-24,43
O04620,C000326,Refund Not Processed,2025-11-26,43
O04621,C000327,Food Quality,2025-11-28,31
O04647,C000328,Food Quality,2025-12-17,32
O04655,C000329,Refund Not Processed,2025-10-23,36
O04686,C000330,Food Quality,2025-12-18,10
O04693,C000331,App Issue,2025-11-16,20
O04737,C000332,Late Delivery,2025-11-19,5
O04761,C000333,Refund Not Processed,2025-12-09,41
O04768,C000334,Wrong Item,2025-12-18,14
O04786,C000335,App Issue,2025-11-29,28
O04803,C000336,Food Quality,2025-10-13,19
O04834,C000337,Late Delivery,2025-10-05,26
O04836,C000338,Wrong Item,2025-10-22,6
O04844,C000339,Refund Not Processed,2025-12-10,41
O04851,C000340,Food Quality,2025-12-07,23
O04865,C000341,Late Delivery,2025-11-24,26
O04877,C000342,Refund Not Processed,2025-10-27,6
O04888,C000343,Refund Not Processed,2025-10-18,7
O04901,C000344,Late Delivery,2025-11-04,35
O04902,C000345,Payment Failure,2025-10-06,47
O04911,C000346,App Issue,2025-12-11,12
O04939,C000347,Food Quality,2025-12-05,9
O04942,C000348,App Issue,2025-10-22,17
O04943,C000349,Food Quality,2025-11-26,14
O04946,C000350,App Issue,2025-11-13,4
O04960,C000351,App Issue,2025-10-05,36
O04968,C000352,Food Quality,2025-10-16,20
O04992,C000353,Food Quality,2025-11-09,11
O04993,C000354,Late Delivery,2025-10-24,15
O05001,C000355,Late Delivery,2025-10-05,26
O05015,C000356,Wrong Item,2025-10-18,29
O05025,C000357,Late Delivery,2025-12-07,16
O05029,C000358,Refund Not Processed,2025-11-21,39
O05030,C000359,Late Delivery,2025-12-02,44
O05042,C000360,Payment Failure,2025-10-06,47
O05044,C000361,Refund Not Processed,2025-12-26,40
O05045,C000362,Refund Not Processed,2025-10-14,18
O05048,C000363,Late Delivery,2025-12-15,38
O05056,C000364,Late Delivery,2025-10-29,46
O05102,C000365,App Issue,2025-11-14,47
O05103,C000366,App Issue,2025-11-12,10
O05110,C000367,App Issue,2025-11-16,28
O05131,C000368,Food Quality,2025-10-27,18
O05151,C000369,Food Quality,2025-12-24,7
O05169,C000370,Payment Failure,2025-12-12,16
O05172,C000371,Late Delivery,2025-11-12,30
O05200,C000372,Food Quality,2025-12-28,29
O05213,C000373,Wrong Item,2025-12-10,22
O05214,C000374,Food Quality,2025-12-15,6
O05221,C000375,Late Delivery,2025-11-04,37
O05238,C000376,Missing Item,2025-12-20,31
O05241,C000377,Late Delivery,2025-10-14,12
O05286,C000378,App Issue,2025-12-22,19
O05296,C000379,Late Delivery,2025-11-15,44
O05306,C000380,Food Quality,2025-11-12,39
O05308,C000381,Wrong Item,2025-10-30,43
O05315,C000382,Late Delivery,2025-10-29,7
O05316,C000383,Wrong Item,2025-11-05,20
O05320,C000384,Late Delivery,2025-10-20,40
O05368,C000385,Refund Not Processed,2025-12-11,9
O05376,C000386,Late Delivery,2025-10-10,40
O05377,C000387,Refund Not Processed,2025-10-04,22
O05386,C000388,Refund Not Processed,2025-11-03,41
O05398,C000389,Food Quality,2025-11-07,16
O05408,C000390,Late Delivery,2025-10-01,40
O05450,C000391,Late Delivery,2025-12-22,30
O05459,C000392,Refund Not Processed,2025-11-01,7
O05463,C000393,Refund Not Processed,2025-12-13,11
O05470,C000394,Missing Item,2025-12-27,46
O05547,C000395,Late Delivery,2025-10-11,15
O05549,C000396,Refund Not Processed,2025-12-14,9
O05551,C000397,App Issue,2025-10-23,32
O05556,C000398,App Issue,2025-11-18,12
O05568,C000399,Late Delivery,2025-10-15,36
O05610,C000400,Refund Not Processed,2025-12-20,35
O05639,C000401,Food Quality,2025-11-05,38
O05641,C000402,Refund Not Processed,2025-12-25,18
O05648,C000403,Refund Not Processed,2025-10-27,37
O05665,C000404,Food Quality,2025-11-09,35
O05672,C000405,Wrong Item,2025-11-18,19
O05722,C000406,Food Quality,2025-10-15,42
O05756,C000407,Food Quality,2025-10-06,34
O05759,C000408,Missing Item,2025-10-12,39
O05784,C000409,Refund Not Processed,2025-11-16,26
O05815,C000410,Missing Item,2025-12-29,38
O05823,C000411,Missing Item,2025-10-03,18
O05831,C000412,Refund Not Processed,2025-11-30,16
O05835,C000413,App Issue,2025-12-01,35
O05841,C000414,Payment Failure,2025-11-07,25
O05847,C000415,Refund Not Processed,2025-12-02,4
O05886,C000416,Late Delivery,2025-11-01,20
O05891,C000417,App Issue,2025-12-16,46
O05903,C000418,Wrong Item,2025-11-14,38
O05913,C000419,Wrong Item,2025-10-27,43
O05966,C000420,Late Delivery,2025-12-07,35
O05975,C000421,Wrong Item,2025-10-25,29
O05998,C000422,Refund Not Processed,2025-10-16,14
O06040,C000423,Late Delivery,2025-10-26,13
O06051,C000424,Refund Not Processed,2025-11-25,47
O06052,C000425,Food Quality,2025-11-16,13
O06070,C000426,Food Quality,2025-11-11,37
O06071,C000427,Food Quality,2025-12-17,44
O06077,C000428,Food Quality,2025-10-04,41
O06083,C000429,Food Quality,2025-12-28,16
O06094,C000430,Late Delivery,2025-10-16,16
O06109,C000431,Late Delivery,2025-12-17,36
O06110,C000432,Late Delivery,2025-12-11,23
O06114,C000433,Refund Not Processed,2025-11-25,18
O06122,C000434,App Issue,2025-10-23,31
O06142,C000435,Late Delivery,2025-11-14,4
O06158,C000436,Missing Item,2025-12-06,4
O06163,C000437,App Issue,2025-11-11,24
O06167,C000438,Late Delivery,2025-10-29,6
O06171,C000439,Refund Not Processed,2025-12-08,22
O06190,C000440,Food Quality,2025-11-01,39
O06208,C000441,App Issue,2025-12-06,6
O06217,C000442,Late Delivery,2025-11-29,23
O06241,C000443,Late Delivery,2025-12-07,6
O06242,C000444,Food Quality,2025-10-29,20
O06251,C000445,Refund Not Processed,2025-12-20,8
O06260,C000446,Wrong Item,2025-12-22,20
O06285,C000447,Refund Not Processed,2025-10-15,35
O06294,C000448,Late Delivery,2025-10-24,45
O06313,C000449,Missing Item,2025-11-01,11
O06317,C000450,Wrong Item,2025-11-02,33
O06354,C000451,Food Quality,2025-12-15,26
O06383,C000452,Food Quality,2025-12-25,17
O06390,C000453,App Issue,2025-10-05,23
O06400,C000454,Food Quality,2025-12-10,14
O06421,C000455,Payment Failure,2025-10-12,14
O06422,C000456,App Issue,2025-10-25,14
O06440,C000457,Food Quality,2025-10-05,40
O06441,C000458,Refund Not Processed,2025-12-26,18
O06477,C000459,Late Delivery,2025-10-12,32
O06513,C000460,App Issue,2025-11-10,39
O06526,C000461,Refund Not Processed,2025-12-25,46
O06553,C000462,Refund Not Processed,2025-11-25,46
O06560,C000463,Missing Item,2025-10-21,11
O06576,C000464,Refund Not Processed,2025-12-08,24
O06583,C000465,App Issue,2025-11-03,13
O06595,C000466,Refund Not Processed,2025-12-04,16
O06597,C000467,Late Delivery,2025-11-17,4
O06601,C000468,Late Delivery,2025-10-08,46
O06614,C000469,Late Delivery,2025-12-17,41
O06622,C000470,App Issue,2025-11-16,46
O06630,C000471,Wrong Item,2025-12-19,17
O06633,C000472,Refund Not Processed,2025-11-14,11
O06637,C000473,Missing Item,2025-10-15,22
O06676,C000474,Food Quality,2025-11-01,37
O06677,C000475,Food Quality,2025-10-12,15
O06687,C000476,App Issue,2025-11-21,6
O06689,C000477,Late Delivery,2025-12-28,32
O06691,C000478,Wrong Item,2025-10-29,10
O06701,C000479,Food Quality,2025-10-13,17
O06716,C000480,Late Delivery,2025-12-29,30
O06725,C000481,Refund Not Processed,2025-12-19,23
O06756,C000482,App Issue,2025-10-24,35
O06803,C000483,Food Quality,2025-10-02,27
O06854,C000484,Food Quality,2025-11-08,40
O06859,C000485,Refund Not Processed,2025-12-02,12
O06868,C000486,Food Quality,2025-10-07,22
O06882,C000487,Food Quality,2025-10-14,6
O06950,C000488,Late Delivery,2025-11-24,38
O06960,C000489,Food Quality,2025-12-07,11
O06967,C000490,Food Quality,2025-11-19,4
O06975,C000491,Refund Not Processed,2025-10-19,30
O06984,C000492,Refund Not Processed,2025-11-05,34
O06988,C000493,Late Delivery,2025-10-07,25
O07032,C000494,Refund Not Processed,2025-12-10,29
O07054,C000495,Late Delivery,2025-12-21,43
O07089,C000496,Refund Not Processed,2025-10-16,21
O07115,C000497,Late Delivery,2025-10-24,25
O07117,C000498,Missing Item,2025-11-17,36
O07121,C000499,Food Quality,2025-12-01,47
O07123,C000500,Payment Failure,2025-11-24,9
O07132,C000501,App Issue,2025-10-14,28
O07133,C000502,Late Delivery,2025-11-20,17
O07136,C000503,Payment Failure,2025-11-11,7
O07139,C000504,Missing Item,2025-11-25,34
O07140,C000505,App Issue,2025-11-13,25
O07154,C000506,App Issue,2025-12-28,17
O07157,C000507,Food Quality,2025-11-24,25
O07163,C000508,Refund Not Processed,2025-10-18,12
O07172,C000509,Missing Item,2025-12-14,20
O07174,C000510,Refund Not Processed,2025-12-13,39
O07178,C000511,App Issue,2025-10-04,23
O07183,C000512,Refund Not Processed,2025-11-02,47
O07190,C000513,Food Quality,2025-12-29,36
O07200,C000514,Refund Not Processed,2025-10-14,34
O07218,C000515,Late Delivery,2025-12-10,33
O07220,C000516,Late Delivery,2025-10-29,5
O07238,C000517,Late Delivery,2025-12-21,26
O07248,C000518,Wrong Item,2025-11-09,23
O07267,C000519,Refund Not Processed,2025-11-24,47
O07295,C000520,Refund Not Processed,2025-11-28,10
O07348,C000521,Refund Not Processed,2025-10-08,12
O07392,C000522,Payment Failure,2025-10-04,45
O07408,C000523,Late Delivery,2025-12-23,43
O07428,C000524,App Issue,2025-10-05,8
O07433,C000525,Late Delivery,2025-11-25,42
O07466,C000526,Late Delivery,2025-10-24,29
O07485,C000527,Wrong Item,2025-10-01,37
O07492,C000528,Late Delivery,2025-12-04,34
O07527,C000529,Refund Not Processed,2025-10-10,42
O07550,C000530,Refund Not Processed,2025-11-25,15
O07578,C000531,Payment Failure,2025-11-06,20
O07580,C000532,Missing Item,2025-10-07,23
O07595,C000533,Wrong Item,2025-11-30,13
O07610,C000534,Food Quality,2025-12-04,40
O07631,C000535,Late Delivery,2025-12-25,11
O07636,C000536,Late Delivery,2025-12-25,39
O07653,C000537,Refund Not Processed,2025-12-20,45
O07689,C000538,App Issue,2025-12-10,17
O07698,C000539,Late Delivery,2025-12-08,39
O07720,C000540,Food Quality,2025-11-12,15
O07734,C000541,Late Delivery,2025-12-29,46
O07765,C000542,Late Delivery,2025-12-26,22
O07770,C000543,Refund Not Processed,2025-12-05,44
O07809,C000544,App Issue,2025-11-03,39
O07826,C000545,Late Delivery,2025-10-13,27
O07854,C000546,Food Quality,2025-10-30,16
O07867,C000547,Late Delivery,2025-12-13,44
O07877,C000548,Refund Not Processed,2025-12-11,22
O07882,C000549,Food Quality,2025-11-23,31
O07892,C000550,Missing Item,2025-11-10,43
O07910,C000551,Wrong Item,2025-11-28,40
O07912,C000552,Food Quality,2025-11-02,32
O07927,C000553,Late Delivery,2025-11-20,34
O07952,C000554,Food Quality,2025-11-06,28
O07953,C000555,Food Quality,2025-11-17,32
O07957,C000556,Late Delivery,2025-12-13,47
O07964,C000557,App Issue,2025-10-02,38
O07966,C000558,Refund Not Processed,2025-11-07,35
O07990,C000559,Food Quality,2025-12-11,42
O08030,C000560,Missing Item,2025-11-19,29
O08035,C000561,Refund Not Processed,2025-11-25,27
O08041,C000562,App Issue,2025-12-04,38
O08043,C000563,Food Quality,2025-12-21,16
O08056,C000564,Food Quality,2025-10-03,21
O08103,C000565,Refund Not Processed,2025-10-07,23
O08111,C000566,App Issue,2025-12-14,31
O08115,C000567,Refund Not Processed,2025-10-29,30
O08121,C000568,Wrong Item,2025-12-18,30
O08139,C000569,App Issue,2025-11-07,20
O08141,C000570,App Issue,2025-10-13,40
O08147,C000571,Refund Not Processed,2025-10-16,45
O08168,C000572,Food Quality,2025-11-18,25
O08184,C000573,Late Delivery,2025-12-20,19
O08186,C000574,Refund Not Processed,2025-11-28,45
O08188,C000575,Refund Not Processed,2025-12-05,41
O08201,C000576,Food Quality,2025-12-15,35
O08202,C000577,Refund Not Processed,2025-10-18,31
O08203,C000578,Late Delivery,2025-11-16,31
O08223,C000579,Payment Failure,2025-12-15,38
O08226,C000580,Refund Not Processed,2025-12-22,29
O08291,C000581,Wrong Item,2025-12-28,34
