restaurant_id,city,cuisine,avg_rating,onboarding_date,commission_percentage
R0043,Jaipur,Fast Food,3.0,2025-03-09,27
R0044,Jaipur,Chinese,4.3,2024-01-14,24
R0045,Lucknow,Chinese,3.9,2025-02-10,26
R0046,Jaipur,Indian,3.2,2024-04-21,24
R0047,Jaipur,Italian,3.2,2024-11-17,21
R0048,Pune,Biryani,3.9,2024-06-16,19
R0049,Lucknow,Multi Cuisine,3.4,2024-05-28,21
R0050,Bangalore,Thai,4.2,2024-08-08,19
R0051,Chennai,Biryani,3.5,2024-08-12,17
R0052,Pune,Multi Cuisine,3.7,2024-10-25,21
R0053,Jaipur,Biryani,2.9,2025-03-05,26
R0054,Jaipur,Italian,3.7,2025-03-07,17
R0055,Bangalore,Multi Cuisine,2.8,2025-04-17,17
R0056,Kolkata,Multi Cuisine,3.5,2024-07-15,22
R0057,Jaipur,Fast Food,3.4,2024-10-12,22
R0058,Bangalore,Biryani,4.3,2025-02-27,25
R0059,Lucknow,Biryani,4.3,2024-10-24,20
R0060,Chennai,Biryani,3.6,2025-04-20,22
R0061,Delhi,Biryani,4.8,2025-05-11,15
R0062,Jaipur,Thai,3.3,2025-05-13,17
R0063,Lucknow,Fast Food,3.1,2024-01-24,26
R0064,Delhi,Chinese,4.4,2024-07-27,16
R0065,Hyderabad,Thai,3.8,2024-11-10,27
R0066,Hyderabad,Fast Food,3.2,2024-07-11,20
R0067,Ahmedabad,Fast Food,3.5,2024-02-23,21
R0068,Chennai,Indian,3.0,2024-11-10,25
R0069,Bangalore,Thai,4.2,2024-08-21,19
R0070,Delhi,Fast Food,3.8,2025-01-16,17
R0071,Delhi,Thai,3.9,2024-11-30,15
R0072,Hyderabad,Thai,2.9,2024-11-11,15
R0073,Kolkata,Indian,4.2,2025-05-10,17
R0074,Ahmedabad,Fast Food,3.4,2024-02-07,27
R0075,Delhi,Thai,3.1,2025-01-20,17
R0076,Ahmedabad,Thai,3.6,2024-07-11,16
R0077,Chennai,Thai,4.5,2025-01-26,17
R0078,Pune,Italian,3.5,2025-04-28,19
R0079,Ahmedabad,Indian,3.0,2024-01-11,25
R0080,Lucknow,Italian,4.7,2025-03-01,19
R0081,Delhi,Fast Food,4.1,2024-08-31,25
R0082,Delhi,Italian,3.4,2024-07-01,25
R0083,Ahmedabad,Fast Food,4.0,2025-02-28,15
R0084,Ahmedabad,Indian,3.0,2025-05-06,26
R0085,Hyderabad,Multi Cuisine,3.9,2025-05-08,17
R0086,Chennai,Italian,4.4,2024-08-16,19
R0087,Jaipur,Fast Food,3.1,2024-05-10,18
R0088,Mumbai,Chinese,4.5,2024-05-18,26
R0089,Delhi,Chinese,3.9,2024-11-11,16
R0090,Kolkata,Fast Food,3.2,2024-05-17,24
R0091,Lucknow,Thai,3.2,2024-05-19,25
R0092,Hyderabad,Indian,4.6,2025-03-27,19
R0093,Kolkata,Multi Cuisine,3.8,2025-01-19,17
R0094,Bangalore,Biryani,3.4,2024-10-22,19
R0095,Hyderabad,Italian,3.3,2024-02-08,26
R0096,Lucknow,Biryani,3.6,2024-01-16,15
R0097,Ahmedabad,Multi Cuisine,4.4,2025-01-06,25
R0098,Delhi,Italian,2.9,2024-12-20,26
R0099,Kolkata,Italian,3.0,2025-02-12,25
R0100,Kolkata,Chinese,3.7,2025-02-15,21
R0101,Pune,Thai,4.6,2024-09-08,19
R0102,Delhi,Italian,4.6,2025-03-02,25
R0103,Lucknow,Multi Cuisine,4.4,2024-09-19,23
R0104,Hyderabad,Multi Cuisine,4.8,2024-12-01,21
R0105,Ahmedabad,Fast Food,3.0,2024-12-02,25
R0106,Mumbai,Thai,4.6,2025-01-07,26
R0107,Lucknow,Italian,2.8,2024-09-08,26
R0108,Mumbai,Fast Food,3.6,2024-06-05,22
R0109,Chennai,Fast Food,3.3,2024-07-21,21
R0110,Delhi,Biryani,3.5,2024-03-22,26
R0111,Ahmedabad,Multi Cuisine,4.7,2024-05-01,23
R0112,Lucknow,Thai,3.5,2024-11-27,23
R0113,Hyderabad,Chinese,4.1,2025-04-12,15
R0114,Pune,Indian,4.2,2024-07-09,16
R0115,Pune,Indian,3.9,2024-05-18,20
R0116,Hyderabad,Indian,3.0,2025-01-19,22
R0117,Chennai,Thai,4.5,2024-05-06,26
R0118,Pune,Fast Food,4.4,2024-10-10,18
R0119,Delhi,Italian,4.3,2024-04-28,23
R0120,Pune,Multi Cuisine,4.6,2024-02-15,16
R0121,Kolkata,Biryani,3.5,2024-12-03,20
R0122,Pune,Fast Food,4.0,2024-01-03,22
R0123,Hyderabad,Fast Food,4.4,2024-05-21,16
R0124,Pune,Indian,3.7,2024-06-15,15
R0125,Mumbai,Fast Food,4.7,2024-01-25,21
R0126,Delhi,Thai,4.5,2024-06-11,24
R0127,Pune,Indian,3.9,2024-10-12,23
R0128,Delhi,Indian,3.1,2025-02-27,22
R0129,Lucknow,Thai,3.8,2025-04-12,22
R0130,Hyderabad,Multi Cuisine,3.2,2024-04-04,21
R0131,Pune,Multi Cuisine,3.6,2024-05-01,22
R0132,Pune,Multi Cuisine,3.3,2024-08-18,22
R0133,Ahmedabad,Indian,4.4,2025-01-29,18
R0134,Delhi,Thai,3.3,2024-03-06,17
R0135,Delhi,Fast Food,4.0,2024-02-08,26
R0136,Ahmedabad,Biryani,2.9,2024-10-10,18
R0137,Chennai,Chinese,4.3,2024-07-10,27
R0138,Chennai,Thai,3.7,2024-08-18,22
R0139,Lucknow,Italian,3.6,2024-05-10,26
R0140,Bangalore,Multi Cuisine,3.7,2025-01-11,21
R0141,Lucknow,Thai,4.2,2024-03-24,19
R0142,Lucknow,Indian,3.7,2024-03-14,16
R0143,Jaipur,Fast Food,4.3,2024-08-07,23
R0144,Lucknow,Chinese,3.4,2025-01-09,24
R0145,Ahmedabad,Fast Food,4.7,2025-01-03,20
R0146,Lucknow,Thai,3.8,2024-09-18,16
R0147,Ahmedabad,Multi Cuisine,4.0,2025-05-07,25
R0148,Bangalore,Fast Food,4.2,2025-05-07,15
R0149,Jaipur,Italian,4.0,2024-06-12,20
R0150,Chennai,Indian,3.9,2025-01-21,25
R0151,Delhi,Fast Food,2.8,2025-04-13,17
R0152,Mumbai,Italian,3.7,2024-03-27,17
R0153,Kolkata,Fast Food,4.5,2024-01-20,26
R0154,Delhi,Chinese,4.6,2025-03-29,24
R0155,Mumbai,Biryani,3.4,2024-08-31,23
R0156,Chennai,Biryani,4.2,2024-04-30,26
R0157,Chennai,Indian,4.5,2025-03-16,25
R0158,Pune,Biryani,3.7,2024-02-21,21
R0159,Pune,Italian,4.0,2024-09-21,17
R0160,Jaipur,Italian,4.1,2024-04-14,20
R0161,Kolkata,Biryani,4.7,2024-03-15,25
R0162,Ahmedabad,Multi Cuisine,3.8,2025-05-05,22
R0163,Chennai,Italian,4.4,2024-11-19,17
R0164,Jaipur,Fast Food,3.2,2025-03-29,19
R0165,Mumbai,Fast Food,4.0,2024-11-01,19
R0166,Kolkata,Italian,3.7,2024-05-13,25
R0167,Mumbai,Thai,3.3,2024-02-12,27
R0168,Ahmedabad,Chinese,2.8,2024-11-07,15
R0169,Chennai,Indian,4.0,2024-01-17,25
R0170,Ahmedabad,Italian,4.4,2024-10-14,27
R0171,Chennai,Indian,4.4,2025-04-16,19
R0172,Bangalore,Biryani,3.6,2024-09-23,24
R0173,Bangalore,Chinese,3.2,2024-08-22,16
R0174,Pune,Fast Food,4.7,2024-06-02,23
R0175,Kolkata,Multi Cuisine,3.6,2024-05-25,20
R0176,Kolkata,Italian,3.5,2024-01-30,25
R0177,Bangalore,Thai,4.0,2024-07-10,16
R0178,Mumbai,Chinese,3.7,2024-12-28,25
R0179,Chennai,Indian,3.5,2024-06-08,24
R0180,Bangalore,Italian,3.4,2024-02-26,20
R0181,Kolkata,Fast Food,3.6,2024-03-02,25
R0182,Bangalore,Fast Food,4.2,2025-01-25,19
R0183,Ahmedabad,Multi Cuisine,2.8,2025-01-23,19
R0184,Kolkata,Italian,3.2,2024-09-06,22
R0185,Ahmedabad,Italian,3.3,2024-11-21,15
R0186,Delhi,Chinese,4.8,2024-05-21,18
R0187,Kolkata,Fast Food,4.6,2025-04-12,22
R0188,Hyderabad,Multi Cuisine,3.6,2024-12-04,19
R0189,Jaipur,Indian,4.2,2025-04-25,24
R0190,Hyderabad,Fast Food,3.3,2024-04-12,17
R0191,Hyderabad,Italian,4.7,2024-10-28,17
R0192,Bangalore,Multi Cuisine,4.7,2024-01-12,15
R0193,Delhi,Indian,3.1,2025-01-17,27
R0194,Bangalore,Italian,4.7,2024-03-23,26
R0195,Lucknow,Fast Food,3.6,2025-05-11,26
R0196,Chennai,Chinese,3.8,2025-05-01,18
R0197,Lucknow,Indian,4.2,2024-02-19,21
R0198,Delhi,Chinese,3.8,2024-12-29,21
R0199,Mumbai,Multi Cuisine,3.9,2024-11-30,26
R0200,Delhi,Multi Cuisine,3.7,2024-03-13,22
R0201,Ahmedabad,Thai,2.9,2025-02-28,19
R0202,Jaipur,Multi Cuisine,3.9,2025-04-09,27
R0203,Kolkata,Biryani,2.9,2024-01-08,18
R0204,Delhi,Thai,3.0,2024-09-15,17
R0205,Hyderabad,Thai,4.2,2024-11-03,25
R0206,Ahmedabad,Indian,3.7,2024-11-29,20
R0207,Jaipur,Fast Food,3.9,2024-05-18,25
R0208,Hyderabad,Thai,3.1,2024-02-17,24
R0209,Mumbai,Chinese,4.2,2024-05-19,19
R0210,Mumbai,Thai,2.9,2024-09-01,25
R0211,Hyderabad,Multi Cuisine,3.3,2024-11-02,27
R0212,Ahmedabad,Multi Cuisine,4.6,2024-01-04,26
R0213,Pune,Chinese,2.9,2024-04-23,19
R0214,Lucknow,Fast Food,4.3,2024-05-24,18
R0215,Ahmedabad,Italian,3.1,2025-01-05,23
R0216,Mumbai,Biryani,4.5,2024-10-11,22
R0217,Bangalore,Fast Food,4.0,2024-04-19,27
R0218,Lucknow,Chinese,2.9,2025-02-10,24
R0219,Pune,Indian,2.8,2024-03-02,22
R0220,Lucknow,Thai,4.0,2024-05-07,19
R0221,Delhi,Biryani,4.4,2024-03-19,27
R0222,Pune,Fast Food,4.2,2024-05-19,25
R0223,Pune,Chinese,3.4,2024-02-17,15
R0224,Delhi,Biryani,4.2,2025-02-20,17
R0225,Bangalore,Italian,3.4,2025-01-31,22
R0226,Delhi,Thai,3.8,2024-12-16,26
R0227,Pune,Thai,3.2,2025-04-02,15
R0228,Jaipur,Thai,3.0,2025-04-27,23
R0229,Pune,Multi Cuisine,4.7,2024-06-14,20
R0230,Pune,Biryani,4.1,2024-04-30,15
R0231,Mumbai,Thai,3.2,2024-08-31,27
R0232,Delhi,Fast Food,3.0,2024-08-02,25
R0233,Hyderabad,Indian,3.3,2025-05-09,26
R0234,Jaipur,Chinese,3.5,2024-07-23,22
R0235,Delhi,Fast Food,4.5,2024-04-23,19
R0236,Kolkata,Indian,4.2,2025-04-23,21
R0237,Bangalore,Chinese,3.5,2024-06-26,16
R0238,Jaipur,Multi Cuisine,3.5,2025-01-15,24
R0239,Mumbai,Fast Food,3.3,2025-05-01,24
R0240,Mumbai,Italian,3.0,2024-09-24,21
R0241,Kolkata,Indian,4.5,2024-08-02,17
R0242,Ahmedabad,Indian,3.7,2024-10-08,19
R0243,Delhi,Biryani,4.7,2024-12-16,23
R0244,Jaipur,Italian,4.4,2024-08-06,19
R0245,Kolkata,Multi Cuisine,4.2,2025-04-11,19
R0246,Bangalore,Chinese,3.5,2024-04-22,23
R0247,Kolkata,Multi Cuisine,3.7,2025-04-05,16
R0248,Pune,Biryani,3.3,2024-12-15,20
R0249,Ahmedabad,Italian,4.4,2024-03-05,23
R0250,Ahmedabad,Thai,3.7,2024-01-03,16
R0251,Delhi,Fast Food,4.4,2024-05-15,27
R0252,Hyderabad,Thai,3.0,2025-01-13,16
R0253,Mumbai,Indian,3.4,2024-09-10,15
R0254,Ahmedabad,Biryani,3.0,2024-03-30,18
R0255,Ahmedabad,Multi Cuisine,4.0,2025-04-01,16
R0256,Bangalore,Indian,4.2,2024-06-06,25
R0257,Hyderabad,Italian,4.4,2024-10-25,22
R0258,Delhi,Indian,3.5,2025-02-01,19
R0259,Hyderabad,Biryani,3.1,2024-01-17,15
R0260,Chennai,Fast Food,4.7,2025-01-07,21
R0261,Ahmedabad,Biryani,3.2,2024-07-17,23
R0262,Hyderabad,Chinese,3.4,2025-02-27,18
R0263,Chennai,Indian,3.4,2024-07-12,16
R0264,Bangalore,Biryani,4.3,2025-04-13,27
R0265,Bangalore,Biryani,4.5,2025-01-26,27
R0266,Chennai,Fast Food,3.4,2025-04-30,16
R0267,Mumbai,Indian,3.4,2024-09-04,27
R0268,Delhi,Indian,4.2,2024-05-13,21
R0269,Chennai,Multi Cuisine,4.5,2025-02-05,25
R0270,Lucknow,Chinese,3.1,2024-08-18,24
R0271,Delhi,Italian,4.8,2024-11-17,17
R0272,Chennai,Italian,4.2,2024-05-09,20
R0273,Hyderabad,Indian,3.4,2025-03-19,25
R0274,Lucknow,Multi Cuisine,4.3,2024-05-03,23
R0275,Ahmedabad,Biryani,2.9,2025-01-21,27
R0276,Mumbai,Multi Cuisine,4.6,2024-08-08,27
R0277,Kolkata,Italian,3.8,2024-04-22,20
R0278,Ahmedabad,Italian,3.2,2024-09-19,21
R0279,Chennai,Biryani,4.2,2024-06-23,18
R0280,Bangalore,Chinese,3.0,2024-01-30,27
R0281,Pune,Thai,3.7,2024-02-04,21
R0282,Delhi,Chinese,4.7,2024-11-10,24
R0283,Bangalore,Thai,4.1,2025-04-09,25
R0284,Jaipur,Indian,3.0,2025-03-21,16
R0285,Lucknow,Italian,4.6,2025-03-06,22
R0286,Chennai,Biryani,4.5,2025-01-09,27
R0287,Pune,Chinese,4.3,2025-04-09,16
R0288,Jaipur,Biryani,3.1,2024-09-29,19
R0289,Mumbai,Indian,4.0,2025-05-12,18
R0290,Kolkata,Indian,4.4,2024-11-04,18
R0291,Pune,Chinese,4.2,2025-02-20,20
R0292,Jaipur,Italian,3.5,2024-11-14,19
R0293,Delhi,Multi Cuisine,4.7,2024-05-04,16
R0294,Hyderabad,Multi Cuisine,3.2,2025-03-01,17
R0295,Bangalore,Biryani,3.7,2024-06-24,19
R0296,Delhi,Italian,3.6,2024-03-02,18
R0297,Hyderabad,Multi Cuisine,4.6,2024-04-08,20
R0298,Lucknow,Chinese,3.2,2024-09-19,20
R0299,Pune,Indian,4.3,2024-04-24,23
R0300,Delhi,Indian,3.9,2024-08-18,27
R0301,Jaipur,Thai,4.0,2024-07-01,15
R0302,Chennai,Multi Cuisine,2.8,2024-08-16,23
R0303,Bangalore,Chinese,4.2,2025-04-12,25
R0304,Jaipur,Thai,3.2,2024-06-14,18
R0305,Lucknow,Indian,3.7,2024-12-11,27
R0306,Delhi,Fast Food,3.8,2024-11-20,23
R0307,Mumbai,Indian,4.7,2024-09-01,26
R0308,Ahmedabad,Fast Food,3.7,2024-02-08,22
R0309,Bangalore,Multi Cuisine,3.6,2025-02-16,20
R0310,Lucknow,Fast Food,4.3,2024-11-29,18
R0311,Jaipur,Fast Food,3.6,2024-06-05,26
R0312,Chennai,Thai,4.6,2024-04-18,18
R0313,Jaipur,Multi Cuisine,3.9,2024-12-24,18
R0314,Delhi,Italian,4.5,2024-08-17,18
R0315,Chennai,Chinese,4.1,2025-03-14,16
R0316,Hyderabad,Chinese,4.1,2024-07-25,24
R0317,Kolkata,Chinese,3.9,2024-02-29,26
R0318,Delhi,Thai,3.8,2025-05-04,16
R0319,Bangalore,Thai,3.5,2024-09-08,19
R0320,Chennai,Multi Cuisine,4.4,2024-07-12,25
R0321,Ahmedabad,Fast Food,4.1,2024-01-04,20
R0322,Ahmedabad,Fast Food,3.0,2024-01-20,24
R0323,Bangalore,Fast Food,4.2,2024-12-23,16
R0324,Chennai,Indian,2.9,2025-03-10,15
R0325,Jaipur,Multi Cuisine,4.8,2024-07-28,17
R0326,Mumbai,Thai,3.4,2024-08-21,26
R0327,Kolkata,Biryani,3.0,2024-07-16,18
R0328,Kolkata,Biryani,3.3,2024-02-24,18
R0329,Mumbai,Indian,4.7,2024-02-15,27
R0330,Pune,Multi Cuisine,3.8,2024-02-16,23
R0331,Ahmedabad,Biryani,4.8,2024-03-26,20
R0332,Bangalore,Biryani,3.5,2024-03-16,17
R0333,Jaipur,Thai,2.9,2024-11-21,24
R0334,Ahmedabad,Multi Cuisine,4.6,2025-02-01,23
R0335,Bangalore,Italian,4.6,2024-07-28,16
R0336,Kolkata,Biryani,3.5,2025-04-15,22
R0337,Ahmedabad,Indian,4.1,2025-04-12,19
R0338,Delhi,Fast Food,3.3,2025-04-11,23
R0339,Bangalore,Italian,4.1,2025-01-23,21
R0340,Lucknow,Biryani,2.9,2024-10-14,23
R0341,Jaipur,Multi Cuisine,3.5,2025-01-12,24
R0342,Kolkata,Multi Cuisine,3.6,2024-12-11,15
R0343,Delhi,Indian,3.4,2024-08-28,22
R0344,Chennai,Chinese,3.8,2024-06-18,17
R0345,Lucknow,Chinese,4.1,2025-05-14,22
R0346,Bangalore,Thai,3.8,2025-02-27,16
R0347,Mumbai,Thai,3.7,2024-12-16,26
R0348,Delhi,Italian,4.1,2025-02-07,27
R0349,Mumbai,Thai,4.5,2024-10-27,16
R0350,Delhi,Thai,3.7,2024-05-19,18
R0351,Pune,Multi Cuisine,3.7,2025-02-28,24
R0352,Jaipur,Chinese,4.5,2024-08-29,19
R0353,Bangalore,Indian,2.8,2024-08-25,26
R0354,Lucknow,Thai,3.6,2024-05-17,24
R0355,Lucknow,Chinese,2.8,2025-01-07,16
R0356,Delhi,Chinese,3.6,2025-05-04,17
R0357,Pune,Biryani,3.3,2025-01-20,19
R0358,Pune,Indian,3.9,2025-03-15,17
R0359,Mumbai,Indian,3.7,2024-05-23,17
R0360,Hyderabad,Indian,3.0,2024-02-14,18
R0361,Chennai,Multi Cuisine,3.9,2025-03-06,27
R0362,Pune,Thai,4.2,2024-06-17,19
R0363,Pune,Thai,2.9,2024-10-26,17
R0364,Mumbai,Fast Food,2.9,2025-01-16,15
R0365,Chennai,Indian,4.6,2025-01-04,26
R0366,Chennai,Biryani,3.9,2024-11-22,17
R0367,Lucknow,Chinese,3.0,2024-07-04,19
R0368,Mumbai,Chinese,4.2,2024-07-01,25
R0369,Kolkata,Chinese,4.5,2025-04-11,20
R0370,Lucknow,Indian,4.7,2024-07-31,22
R0371,Mumbai,Indian,4.5,2024-10-07,21
R0372,Delhi,Multi Cuisine,4.3,2025-05-13,16
R0373,Pune,Multi Cuisine,4.6,2025-05-13,19
R0374,Delhi,Italian,3.8,2024-09-24,17
R0375,Hyderabad,Multi Cuisine,3.8,2025-02-05,26
R0376,Hyderabad,Thai,4.2,2025-03-24,25
R0377,Pune,Italian,4.6,2025-05-03,22
R0378,Chennai,Italian,3.2,2024-11-30,15
R0379,Hyderabad,Fast Food,3.7,2025-03-13,17
R0380,Pune,Italian,4.3,2024-11-15,21
R0381,Lucknow,Multi Cuisine,3.4,2024-07-09,21
R0382,Chennai,Biryani,2.9,2024-01-15,22
R0383,Kolkata,Indian,3.6,2025-01-10,18
R0384,Chennai,Thai,4.7,2024-03-09,27
R0385,Jaipur,Fast Food,4.1,2024-07-27,15
R0386,Bangalore,Biryani,4.4,2024-12-20,25
R0387,Mumbai,Chinese,3.0,2025-04-21,25
R0388,Delhi,Multi Cuisine,3.9,2025-01-24,15
R0389,Chennai,Italian,4.6,2024-06-05,15
R0390,Ahmedabad,Italian,4.6,2025-02-13,27
R0391,Jaipur,Multi Cuisine,4.8,2024-09-04,21
R0392,Bangalore,Indian,4.4,2024-03-15,15
R0393,Kolkata,Biryani,4.5,2024-12-28,24
R0394,Hyderabad,Biryani,3.2,2024-05-08,19
R0395,Kolkata,Thai,2.9,2025-04-08,27
R0396,Chennai,Thai,4.1,2025-02-16,25
R0397,Pune,Thai,4.2,2024-07-22,26
R0398,Ahmedabad,Thai,4.6,2025-02-02,22
R0399,Lucknow,Italian,3.9,2024-10-28,16
R0400,Lucknow,Italian,3.6,2024-07-10,18
R0401,Jaipur,Biryani,4.7,2025-02-24,20
R0402,Ahmedabad,Multi Cuisine,3.2,2025-03-14,21
R0403,Pune,Biryani,3.7,2024-11-07,19
R0404,Chennai,Chinese,2.9,2024-03-14,22
R0405,Hyderabad,Italian,4.4,2024-05-24,24
R0406,Mumbai,Italian,4.0,2024-07-25,17
R0407,Ahmedabad,Multi Cuisine,3.4,2024-09-11,21
R0408,Bangalore,Multi Cuisine,3.9,2024-04-23,26
R0409,Pune,Biryani,4.2,2025-04-17,25
R0410,Delhi,Thai,4.4,2024-07-18,21
R0411,Chennai,Thai,3.0,2025-03-16,16
R0412,Bangalore,Indian,3.2,2024-10-04,15
R0413,Delhi,Biryani,3.8,2024-05-14,16
R0414,Kolkata,Italian,4.2,2024-03-13,24
R0415,Ahmedabad,Chinese,4.6,2024-09-15,25
R0416,Lucknow,Italian,3.9,2025-03-13,17
R0417,Jaipur,Fast Food,3.4,2024-07-02,26
R0418,Hyderabad,Multi Cuisine,4.5,2024-07-10,21
R0419,Mumbai,Multi Cuisine,4.7,2024-09-21,15
R0420,Ahmedabad,Thai,3.3,2024-03-15,24
R0421,Jaipur,Italian,4.0,2024-02-19,15
R0422,Hyderabad,Italian,3.4,2024-03-11,23
R0423,Pune,Italian,4.5,2024-11-08,19
R0424,Chennai,Multi Cuisine,3.6,2024-01-08,23
R0425,Jaipur,Biryani,4.6,2025-01-09,22
R0426,Hyderabad,Indian,3.7,2024-11-04,23
R0427,Kolkata,Multi Cuisine,4.3,2024-03-15,25
R0428,Mumbai,Italian,3.5,2025-05-05,23
R0429,Delhi,Italian,3.9,2025-02-22,19
R0430,Delhi,Italian,4.2,2024-04-22,24
R0431,Chennai,Italian,3.2,2024-06-25,23
R0432,Kolkata,Multi Cuisine,3.1,2024-05-31,26
R0433,Chennai,Italian,3.0,2024-03-18,26
R0434,Hyderabad,Chinese,3.5,2024-09-19,15
R0435,Jaipur,Thai,4.0,2024-10-22,16
R0436,Mumbai,Biryani,3.0,2024-06-27,18
R0437,Mumbai,Biryani,3.1,2025-02-23,26
R0438,Lucknow,Italian,4.4,2024-06-10,21
R0439,Delhi,Thai,3.7,2024-11-25,25
R0440,Chennai,Multi Cuisine,3.0,2024-12-22,18
R0441,Chennai,Chinese,3.4,2024-06-29,21
R0442,Delhi,Fast Food,3.7,2025-01-15,26
R0443,Pune,Fast Food,3.3,2024-03-07,23
R0444,Chennai,Chinese,4.2,2024-06-09,23
R0445,Kolkata,Multi Cuisine,4.4,2024-12-23,24
R0446,Delhi,Thai,4.3,2024-12-01,16
R0447,Bangalore,Fast Food,3.9,2024-09-02,18
R0448,Lucknow,Biryani,3.7,2024-08-29,16
R0449,Jaipur,Multi Cuisine,4.7,2024-12-25,22
R0450,Pune,Fast Food,3.0,2024-11-17,24
R0451,Mumbai,Thai,3.8,2024-04-15,20
R0452,Jaipur,Italian,3.4,2024-11-05,19
R0453,Bangalore,Thai,3.7,2024-09-09,25
R0454,Bangalore,Multi Cuisine,4.1,2024-11-16,21
R0455,Mumbai,Indian,4.0,2024-07-15,17
R0456,Chennai,Chinese,4.2,2024-10-22,27
R0457,Bangalore,Indian,2.8,2024-12-01,21
R0458,Pune,Thai,3.8,2025-03-23,22
R0459,Chennai,Multi Cuisine,4.2,2024-04-19,19
R0460,Jaipur,Chinese,4.4,2024-05-17,16
R0461,Lucknow,Chinese,3.0,2025-04-10,21
R0462,Lucknow,Chinese,3.4,2024-01-14,26
R0463,Bangalore,Multi Cuisine,4.0,2024-05-04,27
R0464,Bangalore,Thai,3.6,2025-04-03,22
R0465,Hyderabad,Biryani,3.6,2024-02-20,24
R0466,Chennai,Biryani,3.1,2024-08-06,15
R0467,Lucknow,Chinese,3.2,2025-01-19,25
R0468,Ahmedabad,Italian,3.4,2024-10-07,20
R0469,Mumbai,Fast Food,4.2,2024-05-01,27
R0470,Lucknow,Thai,3.6,2025-04-26,21
R0471,Delhi,Italian,3.2,2024-01-22,27
R0472,Kolkata,Biryani,2.9,2024-02-05,19
R0473,Ahmedabad,Thai,3.9,2024-10-09,17
R0474,Chennai,Thai,3.2,2024-08-25,27
R0475,Ahmedabad,Chinese,4.0,2024-01-21,16
R0476,Ahmedabad,Biryani,3.9,2025-02-18,25
R0477,Hyderabad,Fast Food,3.5,2025-04-21,25
R0478,Lucknow,Indian,3.3,2024-05-13,26
R0479,Bangalore,Indian,3.7,2024-11-03,19
R0480,Jaipur,Italian,3.5,2024-12-12,22
R0481,Hyderabad,Thai,3.5,2024-12-01,24
R0482,Pune,Multi Cuisine,4.7,2024-05-15,20
R0483,Mumbai,Chinese,4.0,2024-03-02,19
R0484,Kolkata,Multi Cuisine,4.1,2024-08-10,24
R0485,Kolkata,Multi Cuisine,3.2,2025-01-28,23
R0486,Pune,Biryani,3.6,2025-03-30,27
R0487,Delhi,Italian,3.3,2024-04-24,17
R0488,Mumbai,Italian,4.7,2025-02-27,22
R0489,Bangalore,Italian,3.7,2024-07-26,26
R0490,Bangalore,Fast Food,4.6,2024-02-04,22
R0491,Pune,Multi Cuisine,3.8,2025-04-14,27
R0492,Ahmedabad,Multi Cuisine,4.7,2025-04-13,22
R0493,Bangalore,Thai,4.2,2024-10-08,17
