user_id,signup_date,city,acquisition_channel,is_premium
U0049,2025-09-04,Mumbai,Google,1
U0050,2025-10-20,Ahmedabad,Unknown,1
U0051,2025-09-19,Pune,Meta Ads,1
U0052,2025-11-12,Jaipur,Meta Ads,0
U0053,2025-12-10,Pune,Google,1
U0054,2025-08-02,Pune,Google,0
U0055,2025-12-12,Mumbai,Affiliate,1
U0056,2025-09-23,Chennai,Meta Ads,0
U0057,2025-11-14,Jaipur,Instagram,0
U0058,2025-08-04,Delhi,Influencer,1
U0059,2025-09-23,Hyderabad,Referral,0
U0060,2025-12-24,Lucknow,Referral,0
U0061,2025-09-13,Lucknow,Meta Ads,0
U0062,2025-08-14,Bangalore,Instagram,0
U0063,2025-11-03,Delhi,Unknown,0
U0064,2025-09-17,Delhi,Youtube Ads,0
U0065,2025-08-15,Delhi,Google,0
U0066,2025-09-09,Delhi,Referral,1
U0067,2025-10-21,Mumbai,Affiliate,1
U0068,2025-11-19,Chennai,Unknown,0
U0069,2025-09-22,Mumbai,Influencer,1
U0070,2025-08-24,Hyderabad,Affiliate,0
U0071,2025-12-02,Jaipur,Referral,0
U0072,2025-09-10,Bangalore,Instagram,1
U0073,2025-08-15,Mumbai,Instagram,0
U0074,2025-09-14,Hyderabad,Affiliate,1
U0075,2025-10-04,Jaipur,Meta Ads,0
U0076,2025-10-28,Hyderabad,Unknown,1
U0077,2025-10-10,Chennai,Referral,0
U0078,2025-08-09,Hyderabad,Google,1
U0079,2025-10-27,Ahmedabad,Instagram,0
U0080,2025-12-07,Hyderabad,Affiliate,0
U0081,2025-12-14,Mumbai,Youtube Ads,0
U0082,2025-10-02,Hyderabad,Influencer,0
U0083,2025-12-17,Mumbai,Referral,0
U0084,2025-10-20,Jaipur,Unknown,1
U0085,2025-12-14,Ahmedabad,Meta Ads,1
U0086,2025-09-02,Jaipur,Google,1
U0087,2025-12-01,Hyderabad,Influencer,1
U0088,2025-08-05,Delhi,Google,1
U0089,2025-09-10,Bangalore,Meta Ads,1
U0090,2025-08-28,Kolkata,Instagram,1
U0091,2025-12-13,Delhi,Google,1
U0092,2025-10-11,Ahmedabad,Referral,0
U0093,2025-08-12,Jaipur,Instagram,0
U0094,2025-09-02,Ahmedabad,Instagram,0
U0095,2025-09-17,Chennai,Instagram,0
U0096,2025-10-01,Jaipur,Meta Ads,0
U0097,2025-09-06,Hyderabad,Youtube Ads,1
U0098,2025-11-07,Jaipur,Referral,0
U0099,2025-11-12,Delhi,Affiliate,0
U0100,2025-09-04,Bangalore,Influencer,1
U0101,2025-11-09,Hyderabad,Influencer,0
U0102,2025-12-09,Lucknow,Google,0
U0103,2025-08-01,Delhi,Google,0
U0104,2025-08-05,Pune,Affiliate,0
U0105,2025-12-20,Hyderabad,Instagram,0
U0106,2025-11-11,Hyderabad,Influencer,0
U0107,2025-08-27,Delhi,Unknown,0
U0108,2025-12-15,Chennai,Referral,1
U0109,2025-08-15,Jaipur,Instagram,1
U0110,2025-10-29,Pune,Instagram,0
U0111,2025-09-11,Ahmedabad,Instagram,1
U0112,2025-12-02,Hyderabad,Google,0
U0113,2025-10-02,Jaipur,Meta Ads,0
U0114,2025-11-04,Kolkata,Meta Ads,0
U0115,2025-09-21,Kolkata,Youtube Ads,1
U0116,2025-11-04,Ahmedabad,Meta Ads,0
U0117,2025-12-10,Mumbai,Google,0
U0118,2025-12-21,Pune,Meta Ads,0
U0119,2025-08-29,Kolkata,Unknown,1
U0120,2025-09-05,Bangalore,Referral,0
U0121,2025-08-13,Ahmedabad,Youtube Ads,1
U0122,2025-10-10,Delhi,Instagram,0
U0123,2025-10-25,Delhi,Influencer,0
U0124,2025-08-28,Lucknow,Youtube Ads,0
U0125,2025-10-05,Bangalore,Meta Ads,0
U0126,2025-09-14,Pune,Youtube Ads,0
U0127,2025-10-01,Kolkata,Youtube Ads,0
U0128,2025-12-12,Mumbai,Google,0
U0129,2025-08-28,Pune,Affiliate,0
U0130,2025-08-28,Chennai,Google,0
U0131,2025-11-16,Pune,Instagram,0
U0132,2025-09-13,Delhi,Instagram,0
U0133,2025-10-23,Lucknow,Google,0
U0134,2025-08-30,Kolkata,Influencer,0
U0135,2025-10-14,Ahmedabad,Affiliate,1
U0136,2025-12-06,Kolkata,Affiliate,0
U0137,2025-10-31,Jaipur,Youtube Ads,0
U0138,2025-12-07,Delhi,Instagram,0
U0139,2025-11-29,Lucknow,Youtube Ads,1
U0140,2025-08-27,Jaipur,Google,0
U0141,2025-11-29,Bangalore,Influencer,1
U0142,2025-11-24,Mumbai,Referral,0
U0143,2025-08-03,Pune,Influencer,0
U0144,2025-11-11,Chennai,Referral,0
U0145,2025-12-15,Hyderabad,Instagram,0
U0146,2025-10-01,Hyderabad,Affiliate,0
U0147,2025-09-20,Ahmedabad,Referral,1
U0148,2025-09-28,Lucknow,Google,1
U0149,2025-11-26,Bangalore,Youtube Ads,0
U0150,2025-11-04,Delhi,Unknown,0
U0151,2025-11-21,Chennai,Unknown,0
U0152,2025-10-01,Ahmedabad,Affiliate,1
U0153,2025-09-21,Bangalore,Meta Ads,0
U0154,2025-08-12,Mumbai,Unknown,1
U0155,2025-09-08,Delhi,Google,0
U0156,2025-12-08,Hyderabad,Meta Ads,0
U0157,2025-12-09,Mumbai,Instagram,0
U0158,2025-11-21,Ahmedabad,Instagram,0
U0159,2025-11-09,Lucknow,Google,0
U0160,2025-11-21,Jaipur,Instagram,0
U0161,2025-10-20,Lucknow,Google,1
U0162,2025-11-21,Delhi,Google,0
U0163,2025-08-02,Mumbai,Unknown,0
U0164,2025-12-08,Pune,Meta Ads,0
U0165,2025-09-23,Lucknow,Unknown,0
U0166,2025-10-26,Kolkata,Affiliate,0
U0167,2025-12-07,Mumbai,Unknown,0
U0168,2025-12-25,Ahmedabad,Instagram,0
U0169,2025-12-04,Lucknow,Meta Ads,0
U0170,2025-12-08,Jaipur,Unknown,0
U0171,2025-09-22,Ahmedabad,Google,0
U0172,2025-10-07,Jaipur,Unknown,0
U0173,2025-12-01,Pune,Influencer,0
U0174,2025-12-23,Kolkata,Instagram,0
U0175,2025-09-07,Pune,Affiliate,0
U0176,2025-08-24,Kolkata,Meta Ads,0
U0177,2025-10-08,Bangalore,Referral,0
U0178,2025-11-24,Hyderabad,Meta Ads,0
U0179,2025-11-06,Jaipur,Google,0
U0180,2025-12-17,Bangalore,Instagram,0
U0181,2025-12-22,Mumbai,Instagram,1
U0182,2025-11-05,Kolkata,Youtube Ads,1
U0183,2025-12-02,Pune,Referral,0
U0184,2025-10-09,Bangalore,Affiliate,0
U0185,2025-11-01,Pune,Influencer,0
U0186,2025-08-03,Kolkata,Google,0
U0187,2025-12-26,Pune,Affiliate,0
U0188,2025-12-25,Delhi,Influencer,1
U0189,2025-10-29,Delhi,Referral,0
U0190,2025-12-25,Jaipur,Google,0
U0191,2025-12-26,Pune,Unknown,0
U0192,2025-11-04,Mumbai,Affiliate,0
U0193,2025-09-21,Delhi,Unknown,1
U0194,2025-12-06,Mumbai,Google,0
U0195,2025-09-08,Ahmedabad,Referral,0
U0196,2025-10-21,Chennai,Influencer,0
U0197,2025-11-12,Kolkata,Unknown,1
U0198,2025-12-07,Kolkata,Influencer,0
U0199,2025-08-11,Mumbai,Influencer,0
U0200,2025-09-11,Hyderabad,Unknown,0
U0201,2025-11-07,Mumbai,Instagram,0
U0202,2025-08-07,Kolkata,Google,0
U0203,2025-12-22,Chennai,Meta Ads,0
U0204,2025-10-29,Delhi,Referral,0
U0205,2025-11-20,Mumbai,Influencer,1
U0206,2025-09-29,Pune,Instagram,0
U0207,2025-11-21,Hyderabad,Affiliate,1
U0208,2025-08-02,Kolkata,Referral,0
U0209,2025-12-07,Mumbai,Youtube Ads,0
U0210,2025-09-17,Mumbai,Instagram,0
U0211,2025-12-18,Pune,Youtube Ads,0
U0212,2025-09-06,Ahmedabad,Affiliate,0
U0213,2025-08-09,Delhi,Youtube Ads,0
U0214,2025-11-07,Chennai,Referral,0
U0215,2025-12-25,Delhi,Instagram,1
U0216,2025-09-17,Pune,Referral,1
U0217,2025-12-09,Kolkata,Unknown,0
U0218,2025-12-26,Pune,Influencer,1
U0219,2025-09-23,Jaipur,Instagram,0
U0220,2025-11-28,Bangalore,Unknown,0
U0221,2025-11-24,Ahmedabad,Instagram,0
U0222,2025-10-14,Bangalore,Unknown,0
U0223,2025-11-21,Kolkata,Youtube Ads,0
U0224,2025-11-12,Chennai,Google,0
U0225,2025-10-23,Delhi,Unknown,0
U0226,2025-11-20,Hyderabad,Google,0
U0227,2025-11-07,Jaipur,Influencer,0
U0228,2025-11-01,Ahmedabad,Meta Ads,1
U0229,2025-12-24,Bangalore,Referral,0
U0230,2025-12-06,Mumbai,Youtube Ads,1
U0231,2025-11-18,Jaipur,Affiliate,0
U0232,2025-10-21,Delhi,Affiliate,0
U0233,2025-09-23,Jaipur,Affiliate,0
U0234,2025-10-07,Kolkata,Google,0
U0235,2025-09-02,Mumbai,Affiliate,0
U0236,2025-12-20,Chennai,Affiliate,0
U0237,2025-08-21,Mumbai,Unknown,0
U0238,2025-09-17,Chennai,Meta Ads,0
U0239,2025-12-26,Kolkata,Influencer,0
U0240,2025-12-06,Chennai,Affiliate,1
U0241,2025-12-14,Mumbai,Google,0
U0242,2025-12-13,Chennai,Unknown,0
U0243,2025-12-23,Lucknow,Google,1
U0244,2025-12-06,Pune,Instagram,0
U0245,2025-09-02,Chennai,Affiliate,1
U0246,2025-11-23,Mumbai,Influencer,0
U0247,2025-11-27,Pune,Google,0
U0248,2025-08-22,Pune,Google,1
U0249,2025-09-07,Mumbai,Influencer,0
U0250,2025-11-17,Hyderabad,Influencer,1
U0251,2025-09-20,Kolkata,Influencer,0
U0252,2025-08-08,Delhi,Unknown,0
U0253,2025-08-27,Delhi,Instagram,0
U0254,2025-08-27,Pune,Instagram,1
U0255,2025-08-21,Kolkata,Affiliate,0
U0256,2025-08-30,Chennai,Youtube Ads,1
U0257,2025-11-05,Lucknow,Meta Ads,0
U0258,2025-08-28,Ahmedabad,Referral,0
U0259,2025-11-19,Hyderabad,Referral,0
U0260,2025-09-30,Bangalore,Influencer,1
U0261,2025-09-17,Kolkata,Unknown,1
U0262,2025-12-25,Hyderabad,Youtube Ads,0
U0263,2025-08-04,Delhi,Affiliate,1
U0264,2025-09-04,Ahmedabad,Unknown,1
U0265,2025-09-18,Chennai,Meta Ads,0
U0266,2025-08-17,Ahmedabad,Affiliate,0
U0267,2025-09-15,Ahmedabad,Instagram,0
U0268,2025-11-25,Chennai,Influencer,0
U0269,2025-08-06,Ahmedabad,Referral,0
U0270,2025-11-07,Kolkata,Google,1
U0271,2025-12-02,Bangalore,Referral,0
U0272,2025-09-06,Hyderabad,Affiliate,1
U0273,2025-08-24,Kolkata,Influencer,1
U0274,2025-11-01,Hyderabad,Youtube Ads,1
U0275,2025-09-15,Pune,Influencer,0
U0276,2025-11-03,Mumbai,Meta Ads,0
U0277,2025-11-07,Mumbai,Referral,1
U0278,2025-11-24,Bangalore,Google,0
U0279,2025-10-06,Lucknow,Instagram,1
U0280,2025-12-06,Kolkata,Instagram,0
U0281,2025-08-18,Bangalore,Affiliate,0
U0282,2025-08-25,Bangalore,Referral,1
U0283,2025-09-23,Hyderabad,Affiliate,0
U0284,2025-09-27,Lucknow,Referral,1
U0285,2025-10-06,Pune,Youtube Ads,0
U0286,2025-11-12,Delhi,Unknown,0
U0287,2025-08-24,Pune,Affiliate,0
U0288,2025-11-22,Ahmedabad,Referral,0
U0289,2025-09-01,Ahmedabad,Unknown,0
U0290,2025-10-25,Pune,Youtube Ads,1
U0291,2025-12-05,Pune,Affiliate,0
U0292,2025-12-08,Bangalore,Youtube Ads,0
U0293,2025-08-17,Mumbai,Instagram,1
U0294,2025-11-12,Kolkata,Influencer,0
U0295,2025-12-15,Ahmedabad,Meta Ads,0
U0296,2025-09-12,Lucknow,Unknown,0
U0297,2025-09-08,Pune,Youtube Ads,0
U0298,2025-08-26,Chennai,Affiliate,1
U0299,2025-11-07,Hyderabad,Google,0
U0300,2025-09-19,Delhi,Meta Ads,0
U0301,2025-08-13,Jaipur,Instagram,0
U0302,2025-09-29,Lucknow,Meta Ads,0
U0303,2025-12-13,Hyderabad,Meta Ads,0
U0304,2025-09-26,Mumbai,Unknown,0
U0305,2025-09-05,Hyderabad,Referral,0
U0306,2025-08-20,Chennai,Google,0
U0307,2025-10-04,Mumbai,Referral,0
U0308,2025-08-08,Kolkata,Influencer,0
U0309,2025-12-22,Bangalore,Meta Ads,0
U0310,2025-12-20,Ahmedabad,Google,1
U0311,2025-11-23,Hyderabad,Affiliate,0
U0312,2025-12-21,Chennai,Youtube Ads,1
U0313,2025-10-31,Bangalore,Influencer,0
U0314,2025-11-06,Chennai,Affiliate,1
U0315,2025-10-05,Jaipur,Referral,1
U0316,2025-09-01,Mumbai,Influencer,1
U0317,2025-10-25,Kolkata,Meta Ads,0
U0318,2025-09-20,Lucknow,Referral,1
U0319,2025-10-02,Ahmedabad,Referral,0
U0320,2025-12-03,Bangalore,Unknown,0
U0321,2025-12-28,Hyderabad,Influencer,1
U0322,2025-09-27,Lucknow,Meta Ads,1
U0323,2025-09-27,Mumbai,Instagram,1
U0324,2025-10-25,Lucknow,Referral,1
U0325,2025-09-18,Jaipur,Affiliate,0
U0326,2025-10-09,Bangalore,Youtube Ads,1
U0327,2025-08-15,Jaipur,Meta Ads,0
U0328,2025-09-23,Kolkata,Meta Ads,1
U0329,2025-11-09,Pune,Meta Ads,0
U0330,2025-08-08,Bangalore,Youtube Ads,0
U0331,2025-09-22,Kolkata,Affiliate,1
U0332,2025-09-29,Bangalore,Influencer,0
U0333,2025-11-16,Pune,Referral,0
U0334,2025-08-05,Ahmedabad,Meta Ads,0
U0335,2025-11-11,Chennai,Influencer,0
U0336,2025-08-06,Bangalore,Meta Ads,1
U0337,2025-11-17,Pune,Youtube Ads,0
U0338,2025-11-24,Ahmedabad,Influencer,1
U0339,2025-11-02,Lucknow,Influencer,0
U0340,2025-09-16,Bangalore,Referral,1
U0341,2025-11-07,Chennai,Youtube Ads,1
U0342,2025-09-24,Jaipur,Affiliate,0
U0343,2025-09-21,Lucknow,Unknown,0
U0344,2025-12-22,Lucknow,Meta Ads,0
U0345,2025-08-13,Bangalore,Google,1
U0346,2025-11-22,Mumbai,Affiliate,1
U0347,2025-12-02,Ahmedabad,Google,0
U0348,2025-11-14,Kolkata,Referral,0
U0349,2025-12-25,Jaipur,Instagram,1
U0350,2025-12-23,Hyderabad,Referral,0
U0351,2025-11-28,Bangalore,Youtube Ads,0
U0352,2025-10-02,Lucknow,Referral,1
U0353,2025-08-19,Chennai,Referral,1
U0354,2025-10-31,Delhi,Meta Ads,0
U0355,2025-09-27,Chennai,Affiliate,0
U0356,2025-10-29,Bangalore,Affiliate,1
U0357,2025-11-25,Delhi,Instagram,0
U0358,2025-10-01,Bangalore,Youtube Ads,1
U0359,2025-08-23,Chennai,Google,1
U0360,2025-12-05,Chennai,Influencer,0
U0361,2025-12-15,Lucknow,Youtube Ads,0
U0362,2025-12-18,Ahmedabad,Google,0
U0363,2025-12-07,Delhi,Google,0
U0364,2025-09-27,Kolkata,Referral,0
U0365,2025-11-30,Chennai,Instagram,0
U0366,2025-08-01,Bangalore,Referral,0
U0367,2025-09-03,Hyderabad,Instagram,0
U0368,2025-11-04,Bangalore,Unknown,0
U0369,2025-12-04,Ahmedabad,Affiliate,0
U0370,2025-11-26,Hyderabad,Meta Ads,0
U0371,2025-09-17,Bangalore,Meta Ads,1
U0372,2025-10-28,Mumbai,Meta Ads,0
U0373,2025-11-25,Bangalore,Influencer,1
U0374,2025-12-07,Kolkata,Referral,0
U0375,2025-08-16,Pune,Unknown,0
U0376,2025-10-08,Lucknow,Google,0
U0377,2025-08-22,Chennai,Meta Ads,1
U0378,2025-11-01,Ahmedabad,Unknown,1
U0379,2025-10-15,Delhi,Meta Ads,1
U0380,2025-12-22,Bangalore,Affiliate,0
U0381,2025-10-25,Mumbai,Meta Ads,0
U0382,2025-08-29,Mumbai,Affiliate,0
U0383,2025-10-08,Delhi,Meta Ads,1
U0384,2025-09-16,Chennai,Meta Ads,0
U0385,2025-11-02,Chennai,Affiliate,1
U0386,2025-12-22,Bangalore,Youtube Ads,0
U0387,2025-10-24,Jaipur,Influencer,1
U0388,2025-09-08,Pune,Meta Ads,1
U0389,2025-11-08,Lucknow,Unknown,1
U0390,2025-09-02,Pune,Youtube Ads,1
U0391,2025-11-09,Lucknow,Google,0
U0392,2025-08-23,Pune,Referral,0
U0393,2025-08-10,Mumbai,Meta Ads,1
U0394,2025-10-08,Lucknow,Youtube Ads,0
U0395,2025-11-08,Lucknow,Google,1
U0396,2025-09-03,Ahmedabad,Influencer,0
U0397,2025-12-16,Pune,Youtube Ads,0
U0398,2025-12-25,Bangalore,Youtube Ads,0
U0399,2025-11-04,Lucknow,Instagram,1
U0400,2025-08-01,Jaipur,Instagram,0
U0401,2025-10-08,Mumbai,Referral,0
U0402,2025-08-04,Kolkata,Meta Ads,0
U0403,2025-08-16,Bangalore,Meta Ads,0
U0404,2025-08-24,Pune,Affiliate,0
U0405,2025-10-19,Chennai,Referral,0
U0406,2025-08-02,Pune,Unknown,0
U0407,2025-12-06,Ahmedabad,Influencer,0
U0408,2025-10-23,Bangalore,Meta Ads,0
U0409,2025-12-18,Mumbai,Affiliate,1
U0410,2025-12-02,Ahmedabad,Referral,1
U0411,2025-09-02,Delhi,Referral,0
U0412,2025-11-09,Mumbai,Youtube Ads,0
U0413,2025-08-12,Lucknow,Unknown,0
U0414,2025-10-06,Delhi,Unknown,0
U0415,2025-10-04,Chennai,Google,1
U0416,2025-10-13,Ahmedabad,Instagram,1
U0417,2025-09-12,Mumbai,Referral,0
U0418,2025-09-13,Hyderabad,Youtube Ads,0
U0419,2025-08-29,Hyderabad,Google,1
U0420,2025-12-19,Kolkata,Affiliate,0
U0421,2025-08-12,Delhi,Affiliate,0
U0422,2025-11-03,Jaipur,Instagram,0
U0423,2025-09-15,Bangalore,Affiliate,1
U0424,2025-12-08,Pune,Instagram,0
U0425,2025-09-04,Lucknow,Affiliate,0
U0426,2025-10-20,Chennai,Influencer,0
U0427,2025-10-29,Hyderabad,Affiliate,0
U0428,2025-08-08,Jaipur,Referral,0
U0429,2025-11-01,Jaipur,Unknown,0
U0430,2025-10-29,Delhi,Referral,0
U0431,2025-11-23,Kolkata,Google,0
U0432,2025-11-13,Lucknow,Influencer,0
U0433,2025-12-13,Jaipur,Unknown,1
U0434,2025-09-27,Chennai,Referral,0
U0435,2025-11-22,Delhi,Unknown,1
U0436,2025-10-14,Ahmedabad,Unknown,0
U0437,2025-11-28,Chennai,Unknown,0
U0438,2025-08-21,Pune,Affiliate,0
U0439,2025-12-16,Kolkata,Unknown,0
U0440,2025-11-09,Lucknow,Influencer,0
U0441,2025-11-07,Kolkata,Affiliate,0
U0442,2025-09-05,Kolkata,Meta Ads,0
U0443,2025-11-04,Delhi,Unknown,1
U0444,2025-09-06,Kolkata,Affiliate,1
U0445,2025-08-12,Bangalore,Unknown,0
U0446,2025-11-21,Chennai,Google,0
U0447,2025-08-13,Lucknow,Referral,0
U0448,2025-08-23,Chennai,Meta Ads,1
U0449,2025-11-07,Ahmedabad,Unknown,1
U0450,2025-11-13,Kolkata,Google,0
U0451,2025-08-30,Kolkata,Influencer,1
U0452,2025-08-17,Pune,Influencer,1
U0453,2025-11-21,Kolkata,Referral,1
U0454,2025-10-01,Kolkata,Instagram,1
U0455,2025-10-23,Chennai,Meta Ads,0
U0456,2025-11-20,Chennai,Meta Ads,1
U0457,2025-10-25,Hyderabad,Unknown,0
U0458,2025-12-19,Hyderabad,Instagram,1
U0459,2025-08-19,Chennai,Referral,0
U0460,2025-11-08,Lucknow,Referral,1
U0461,2025-12-18,Jaipur,Unknown,1
U0462,2025-12-25,Pune,Google,0
U0463,2025-10-15,Ahmedabad,Unknown,0
U0464,2025-08-09,Jaipur,Influencer,1
U0465,2025-08-28,Hyderabad,Google,1
U0466,2025-12-06,Kolkata,Youtube Ads,0
U0467,2025-09-21,Chennai,Unknown,1
U0468,2025-10-22,Hyderabad,Influencer,0
U0469,2025-11-19,Kolkata,Google,1
U0470,2025-12-22,Bangalore,Influencer,0
U0471,2025-11-25,Delhi,Influencer,0
U0472,2025-10-08,Kolkata,Affiliate,0
U0473,2025-11-07,Jaipur,Google,1
U0474,2025-12-18,Mumbai,Google,0
U0475,2025-08-25,Kolkata,Referral,1
U0476,2025-12-01,Lucknow,Instagram,0
U0477,2025-09-22,Mumbai,Unknown,0
U0478,2025-12-22,Bangalore,Referral,1
U0479,2025-09-26,Lucknow,Instagram,0
U0480,2025-09-08,Lucknow,Referral,0
U0481,2025-11-17,Bangalore,Meta Ads,0
U0482,2025-09-11,Hyderabad,Referral,0
U0483,2025-12-20,Pune,Unknown,0
U0484,2025-11-30,Bangalore,Meta Ads,0
U0485,2025-12-11,Jaipur,Affiliate,0
U0486,2025-10-14,Mumbai,Referral,1
U0487,2025-12-24,Kolkata,Unknown,0
U0488,2025-10-15,Pune,Google,0
U0489,2025-08-09,Mumbai,Instagram,0
U0490,2025-10-13,Bangalore,Youtube Ads,0
U0491,2025-12-23,Pune,Unknown,0
U0492,2025-08-07,Lucknow,Affiliate,0
U0493,2025-12-19,Hyderabad,Youtube Ads,0
U0494,2025-12-15,Delhi,Unknown,0
U0495,2025-08-27,Delhi,Unknown,0
U0496,2025-11-30,Bangalore,Influencer,0
U0497,2025-08-05,Ahmedabad,Google,0
U0498,2025-08-29,Hyderabad,Instagram,1
U0499,2025-10-22,Delhi,Youtube Ads,0
U0500,2025-12-14,Ahmedabad,Meta Ads,0
U0501,2025-11-17,Lucknow,Instagram,0
U0502,2025-10-04,Pune,Affiliate,0
U0503,2025-10-25,Delhi,Meta Ads,1
U0504,2025-12-23,Lucknow,Meta Ads,0
U0505,2025-10-10,Lucknow,Instagram,0
U0506,2025-09-14,Pune,Google,0
U0507,2025-12-10,Delhi,Affiliate,0
U0508,2025-09-05,Lucknow,Google,0
U0509,2025-10-09,Lucknow,Google,0
U0510,2025-08-19,Bangalore,Meta Ads,0
U0511,2025-11-16,Mumbai,Unknown,0
U0512,2025-10-30,Hyderabad,Unknown,0
U0513,2025-10-29,Mumbai,Unknown,1
U0514,2025-08-19,Chennai,Meta Ads,0
U0515,2025-09-08,Hyderabad,Youtube Ads,0
U0516,2025-12-04,Pune,Referral,1
U0517,2025-12-19,Kolkata,Google,1
U0518,2025-12-04,Mumbai,Instagram,1
U0519,2025-09-27,Mumbai,Affiliate,0
U0520,2025-12-26,Ahmedabad,Referral,0
U0521,2025-09-30,Jaipur,Unknown,0
U0522,2025-12-05,Chennai,Meta Ads,1
U0523,2025-11-13,Kolkata,Youtube Ads,0
U0524,2025-08-01,Jaipur,Referral,0
U0525,2025-12-09,Delhi,Meta Ads,1
U0526,2025-10-31,Ahmedabad,Referral,1
U0527,2025-11-21,Lucknow,Google,0
U0528,2025-09-25,Lucknow,Google,0
U0529,2025-11-25,Jaipur,Meta Ads,0
U0530,2025-12-12,Jaipur,Instagram,0
U0531,2025-09-27,Lucknow,Affiliate,1
U0532,2025-09-13,Kolkata,Affiliate,0
U0533,2025-09-30,Lucknow,Unknown,0
U0534,2025-09-16,Bangalore,Instagram,1
U0535,2025-12-27,Chennai,Influencer,0
U0536,2025-10-19,Mumbai,Affiliate,0
U0537,2025-11-26,Lucknow,Youtube Ads,0
U0538,2025-12-25,Bangalore,Referral,1
U0539,2025-08-20,Lucknow,Influencer,0
U0540,2025-12-24,Kolkata,Referral,1
U0541,2025-09-16,Delhi,Affiliate,0
U0542,2025-09-18,Bangalore,Referral,1
U0543,2025-08-14,Chennai,Meta Ads,0
U0544,2025-12-21,Hyderabad,Referral,0
U0545,2025-08-01,Bangalore,Meta Ads,0
U0546,2025-11-25,Pune,Unknown,1
U0547,2025-09-23,Pune,Referral,0
U0548,2025-11-26,Hyderabad,Meta Ads,0
U0549,2025-08-03,Jaipur,Affiliate,1
U0550,2025-12-22,Pune,Google,0
U0551,2025-08-12,Jaipur,Referral,1
U0552,2025-10-13,Lucknow,Influencer,0
U0553,2025-08-16,Lucknow,Affiliate,0
U0554,2025-11-10,Mumbai,Referral,1
U0555,2025-11-25,Pune,Youtube Ads,0
U0556,2025-08-08,Hyderabad,Instagram,1
U0557,2025-11-30,Mumbai,Meta Ads,0
U0558,2025-10-31,Chennai,Unknown,0
U0559,2025-10-29,Bangalore,Youtube Ads,0
U0560,2025-12-14,Pune,Google,0
U0561,2025-09-29,Ahmedabad,Meta Ads,0
U0562,2025-08-28,Hyderabad,Referral,0
U0563,2025-11-09,Hyderabad,Affiliate,0
U0564,2025-09-10,Chennai,Google,1
U0565,2025-12-23,Pune,Referral,0
U0566,2025-12-19,Kolkata,Influencer,1
U0567,2025-09-15,Pune,Instagram,1
U0568,2025-09-04,Kolkata,Affiliate,1
U0569,2025-12-12,Jaipur,Unknown,0
U0570,2025-10-21,Hyderabad,Referral,1
U0571,2025-11-23,Lucknow,Affiliate,0
U0572,2025-09-16,Delhi,Youtube Ads,0
U0573,2025-08-10,Jaipur,Influencer,1
U0574,2025-09-25,Kolkata,Referral,0
U0575,2025-08-30,Hyderabad,Unknown,0
U0576,2025-11-17,Lucknow,Instagram,0
U0577,2025-08-05,Ahmedabad,Meta Ads,0
